,Регион,Год,V_сточ_вод_млн_м3,Коэф_смерт_насел,Числ_насел,Оборот_вод_млн_м3,Инвест_в_ООС_норм
234,Воронежская область,2018,118.82,14.6,2338.6,3521.13,7.038477027512994
235,Воронежская область,2019,119.24,14.1,2336.3,4422.56,1.0937079346845342
236,Воронежская область,2020,118.23,16.4,2319.1,5178.0,1.0086779264737074
237,Воронежская область,2021,117.21,20.2,2302.6,5003.91,0.2170236587157424
238,Воронежская область,2022,121.46,15.3,2285.3,4982.51,0.7112775193224539
239,Воронежская область,2023,131.0,14.3,2273.4,5029.0,0.03753742550782357
240,Еврейская автономная область,2000,11.0,14.5,193.2,23.0,1.764799154334038
241,Еврейская автономная область,2001,12.0,14.7,191.9,11.0,10.729102716699034
242,Еврейская автономная область,2002,12.0,15.9,190.6,16.0,11.719529136506544
243,Еврейская автономная область,2003,12.0,16.1,188.4,15.0,6.4329916166546015
244,Еврейская автономная область,2004,14.0,17.2,185.8,13.0,4.1421435503833175
245,Еврейская автономная область,2005,14.0,18.3,181.7,13.0,5.280691626420354
246,Еврейская автономная область,2006,14.0,16.5,179.4,10.0,9.01172622491211
247,Еврейская автономная область,2007,14.0,15.6,178.7,9.0,28.376328178672434
248,Еврейская автономная область,2008,13.0,15.9,178.1,9.0,21.870876256412394
249,Еврейская автономная область,2009,14.0,15.4,177.5,7.0,8.610588467614534
250,Еврейская автономная область,2010,15.0,15.5,176.3,6.0,9.374887105105543
251,Еврейская автономная область,2011,16.0,15.5,173.9,4.7,0.9925000633440596
252,Еврейская автономная область,2012,14.65,15.3,171.7,6.25,11.028191822869388
253,Еврейская автономная область,2013,14.0,14.7,169.0,5.33,3.4040625886381797
254,Еврейская автономная область,2014,12.89,15.1,166.4,5.55,0.36331466741044294
255,Еврейская автономная область,2015,13.58,15.6,163.9,7.87,0.43091473870379843
256,Еврейская автономная область,2016,13.53,15.4,161.6,9.59,5.951719614852396
257,Еврейская автономная область,2017,13.54,13.5,159.1,13.33,20.7860968372295
258,Еврейская автономная область,2018,10.72,13.9,156.7,13.49,4.0637402020601785
259,Еврейская автономная область,2019,12.57,14.5,154.7,18.47,0.0
260,Еврейская автономная область,2020,11.74,16.3,152.6,20.36,0.0
261,Еврейская автономная область,2021,12.4,18.5,149.6,19.2,3.0919351313656804
262,Еврейская автономная область,2022,11.94,15.2,147.5,20.27,3.55839764391481
263,Еврейская автономная область,2023,12.0,14.3,145.8,20.0,1.871608262168188
264,Забайкальский край,2000,80.0,14.5,1178.8,527.0,1.8066052503613703
265,Забайкальский край,2001,94.0,15.3,1165.4,1099.0,5.472748383571624
266,Забайкальский край,2002,77.0,16.2,1152.6,1063.0,5.0637887772186785
267,Забайкальский край,2003,75.0,16.8,1142.7,578.0,4.333073543385611
268,Забайкальский край,2004,84.0,17.1,1132.8,584.0,3.23999621297448
269,Забайкальский край,2005,83.0,17.3,1123.3,667.0,4.600094763457488
270,Забайкальский край,2006,79.0,15.6,1115.1,631.0,5.503862469842536
271,Забайкальский край,2007,85.0,14.5,1111.4,917.0,4.947084704897206
272,Забайкальский край,2008,97.0,14.4,1109.2,903.0,7.879033085772121
273,Забайкальский край,2009,98.0,13.8,1109.0,857.0,4.917279267019723
274,Забайкальский край,2010,78.0,13.8,1106.2,820.0,0.7665957989114953
275,Забайкальский край,2011,95.0,13.3,1095.5,878.0,2.157086462385159
276,Забайкальский край,2012,85.63,13.2,1087.4,970.46,6.6430770714492375
277,Забайкальский край,2013,35.49,12.6,1078.8,1066.58,12.407949942287408
278,Забайкальский край,2014,30.76,12.6,1072.1,1059.18,5.304319351662914
279,Забайкальский край,2015,35.44,13.1,1063.9,1093.57,5.553353667153612
280,Забайкальский край,2016,34.18,12.6,1056.0,1062.24,8.742182705710775
281,Забайкальский край,2017,45.35,12.0,1046.0,1005.65,10.986741857783764
282,Забайкальский край,2018,51.62,12.6,1035.1,1144.74,25.518238200512066
283,Забайкальский край,2019,75.25,12.8,1025.1,897.3,13.423995842766725
284,Забайкальский край,2020,87.19,14.2,1014.7,1220.92,6.744010720676926
285,Забайкальский край,2021,61.65,16.4,1000.5,1281.9,5.745234356263795
286,Забайкальский край,2022,70.68,13.8,992.4,1230.14,10.045503253077834
287,Забайкальский край,2023,67.0,13.7,984.4,1373.0,13.485049173928942
288,Ивановская область,2000,168.0,20.8,1179.0,238.0,3.684260355029586
289,Ивановская область,2001,169.0,20.7,1161.9,177.0,2.103995779201746
290,Ивановская область,2002,160.0,22,1144.5,212.0,0.9592495543209556
291,Ивановская область,2003,158.0,22.1,1131.0,168.0,1.463693676877036
292,Ивановская область,2004,152.0,21.6,1116.7,223.0,1.2529569664885432
293,Ивановская область,2005,144.0,22,1101.8,196.0,9.3140667426163
294,Ивановская область,2006,140.0,19.9,1089.8,198.0,5.69932837175531
295,Ивановская область,2007,136.0,18.8,1081.1,254.0,3.7238602311643834
296,Ивановская область,2008,127.0,19.3,1074.3,257.0,2.503785339898805
297,Ивановская область,2009,114.0,18.6,1067.8,244.0,0.6583132231205614
298,Ивановская область,2010,102.0,18.4,1060.1,226.0,0.0
299,Ивановская область,2011,99.0,17,1049.1,196.0,1.3419298183008626
300,Ивановская область,2012,96.9,17,1039.2,195.83,6.851067112368218
301,Ивановская область,2013,88.12,16.5,1028.5,185.15,2.157193985667581
302,Ивановская область,2014,82.22,16.7,1017.4,100.74,1.3395067581092044
303,Ивановская область,2015,70.25,16.4,1005.2,173.81,0.27502596701150855
304,Ивановская область,2016,69.12,16.5,993.8,234.23,0.541904375989342
305,Ивановская область,2017,68.69,16.4,980.6,240.7,0.05125557327876113
306,Ивановская область,2018,60.49,16.7,965.3,213.58,1.176268938155717
307,Ивановская область,2019,60.9,16.5,953.6,177.75,10.369370538916707
308,Ивановская область,2020,62.0,18.6,938.8,153.79,0.18334095213217527
309,Ивановская область,2021,59.39,21.6,924.1,133.01,6.842948686769639
310,Ивановская область,2022,58.19,17.3,914.7,134.32,29.450942471014365
311,Ивановская область,2023,17.0,16.1,905.9,134.0,13.671459789898483
312,Иркутская область,2000,893.0,15.5,2623.2,2444.0,5.1799079346650645
313,Иркутская область,2001,890.0,15.8,2599.6,2479.0,7.217598137059215
314,Иркутская область,2002,820.0,16.5,2577.7,2456.0,7.195189017653155
315,Иркутская область,2003,823.0,16.9,2552.3,2476.0,9.124970299612153
316,Иркутская область,2004,785.0,16.6,2524.1,2280.0,6.492758067980278
317,Иркутская область,2005,814.0,17.2,2492.2,2135.0,5.66508311845809
318,Иркутская область,2006,807.0,15.4,2467.4,2049.0,3.5807351293381613
319,Иркутская область,2007,789.0,14.3,2455.4,2033.0,5.182075361345589
320,Иркутская область,2008,814.0,14.4,2448.3,2290.0,5.2388479589037225
321,Иркутская область,2009,640.0,14.3,2440.4,2343.0,4.517537031777458
322,Иркутская область,2010,594.0,14.4,2428.0,2544.0,3.1699486762575964
323,Иркутская область,2011,583.0,14,2425.0,2441.0,5.390319991099364
324,Иркутская область,2012,614.26,13.9,2423.2,2767.36,2.973880024651355
325,Иркутская область,2013,537.89,13.6,2420.1,2389.35,9.321831091129818
326,Иркутская область,2014,499.98,13.7,2417.2,2533.32,6.405415153590322
327,Иркутская область,2015,507.01,13.6,2415.7,2581.15,7.979316725592123
328,Иркутская область,2016,514.27,13.4,2412.4,2307.53,8.113423260816209
329,Иркутская область,2017,524.49,12.9,2408.2,2474.96,13.82742997640091
330,Иркутская область,2018,527.65,13.0,2402.4,2704.37,12.23969988063092
331,Иркутская область,2019,510.05,13.2,2396.4,2635.83,18.653417024306247
332,Иркутская область,2020,441.72,14.9,2380.8,2689.04,26.639394627653687
333,Иркутская область,2021,426.29,17.7,2363.4,2599.52,16.908348143365675
334,Иркутская область,2022,447.13,14.1,2344.4,2659.41,16.280429636651675
335,Иркутская область,2023,464.0,13.3,2330.5,2530.0,26.11905194799416
336,Кабардино-Балкарская Республика,2000,49.0,10,886.7,24.0,1.7420266594703615
337,Кабардино-Балкарская Республика,2001,50.0,9.9,894.3,24.0,7.570525579505537
338,Кабардино-Балкарская Республика,2002,54.0,10,901.1,24.0,7.79433137939362
339,Кабардино-Балкарская Республика,2003,52.0,10.3,889.6,22.0,8.008839345473008
340,Кабардино-Балкарская Республика,2004,50.0,9.8,877.3,20.0,4.699152236093471
341,Кабардино-Балкарская Республика,2005,47.0,10.4,866.2,16.0,9.474335793057389
342,Кабардино-Балкарская Республика,2006,42.0,10.2,858.5,15.0,9.802561550876595
343,Кабардино-Балкарская Республика,2007,39.0,9.8,857.3,15.0,12.091263926458893
344,Кабардино-Балкарская Республика,2008,38.0,9.4,858.1,13.0,15.895781620631602
345,Кабардино-Балкарская Республика,2009,35.0,9.8,859.6,11.0,6.261352023527225
346,Кабардино-Балкарская Республика,2010,33.0,9.4,859.8,9.0,10.340202681666288
347,Кабардино-Балкарская Республика,2011,32.0,9.4,861.7,14.0,8.738996296684677
348,Кабардино-Балкарская Республика,2012,29.58,8.9,865.0,12.67,28.05221007729273
349,Кабардино-Балкарская Республика,2013,28.54,8.9,867.4,16.81,36.314296914072536
350,Кабардино-Балкарская Республика,2014,29.01,8.7,872.8,15.18,12.129767465735846
351,Кабардино-Балкарская Республика,2015,28.34,8.6,878.5,16.64,10.47699139126914
352,Кабардино-Балкарская Республика,2016,29.39,8.4,883.9,15.2,3.085137817152032
353,Кабардино-Балкарская Республика,2017,29.28,8.3,888.5,14.71,0.0
354,Кабардино-Балкарская Республика,2018,30.85,8.0,892.1,12.99,0.0
355,Кабардино-Балкарская Республика,2019,30.69,8.1,897.4,14.32,0.0
356,Кабардино-Балкарская Республика,2020,28.81,9.8,900.6,15.6,0.0
357,Кабардино-Балкарская Республика,2021,28.06,10.5,904.3,4.91,0.0
