,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб
449,Ростовская область,2005,282.0,596359.0,263051.5
450,Республика Дагестан,2005,78.0,132876.56,90442.6
451,Республика Ингушетия,2005,1.6,0.0,7419.3
452,Кабардино-Балкарская Республика,2005,47.0,348972.0,36833.4
453,Карачаево-Черкесская Республика,2005,53.0,309580.0,16724.3
454,Республика Северная Осетия — Алания,2005,96.0,584389.4,31182.2
456,Ставропольский край,2005,220.0,1420842.0,146569.3
457,Республика Башкортостан,2005,388.0,5980977.399999999,381646.5
458,Республика Марий Эл,2005,64.0,53545.8,33350.7
459,Республика Мордовия,2005,53.0,570580.0,44267.0
460,Республика Татарстан (Татарстан),2005,529.0,1158070.2,482759.2
461,Удмуртская Республика,2005,28.0,322706.0,139995.3
462,Чувашская Республика — Чувашия,2005,121.0,528896.0,69391.6
463,Пермский край,2005,317.0,1200399.0,327273.3
464,Кировская область,2005,132.0,23241.0,79800.6
465,Нижегородская область,2005,425.0,974285.3,299723.7
466,Оренбургская область,2005,149.0,1362832.0,213138.2
467,Пензенская область,2005,139.0,137647.4,74362.7
468,Самарская область,2005,465.0,1302898.7,401812.2
469,Саратовская область,2005,237.0,517930.0,170930.5
470,Ульяновская область,2005,115.0,469494.1,80584.4
471,Курганская область,2005,59.0,232234.5,50245.8
472,Свердловская область,2005,814.0,3496041.5999999996,475575.5
473,Ханты-Мансийский автономный округ — Югра,2005,31.0,11529835.0,1399335.9
474,Ямало-Ненецкий автономный округ,2005,31.0,1467362.0,441721.8
475,Тюменская область,2005,86.0,13421101.0,374526.7
476,Челябинская область,2005,660.0,4048663.4000000004,349957.2
477,Республика Алтай,2005,0.5,0.0,8805.8
478,Республика Тыва,2005,8.0,46160.0,11662.5
479,Республика Хакасия,2005,50.0,96170.0,41727.5
480,Алтайский край,2005,34.0,154492.0,135686.4
481,Красноярский край,2005,531.0,10310848.4,439736.9
482,Иркутская область,2005,814.0,1462132.46,258095.5
483,Кемеровская область — Кузбасс,2005,695.0,1902068.0,295378.4
484,Новосибирская область,2005,72.0,228854.8,235381.8
485,Омская область,2005,214.0,548186.6,220686.1
486,Томская область,2005,12.0,349406.65,159578.5
487,Республика Бурятия,2005,61.0,230965.40000000002,74912.9
488,Республика Саха (Якутия),2005,79.0,2593335.1,183027.0
489,Забайкальский край,2005,83.0,320383.26,69647.1
490,Камчатский край,2005,29.0,74170.0,43974.3
491,Приморский край,2005,348.0,391490.8,186623.3
492,Хабаровский край,2005,217.0,665188.0,161194.4
493,Амурская область,2005,100.0,126708.0,76861.2
494,Магаданская область,2005,28.0,97357.79999999999,27167.8
495,Сахалинская область,2005,52.0,1221117.7,121014.1
